1, Engine speed (RPM)....................................................................
2, Heated oxygen sensor (mV).............................................................
3, Fuel correction (%)...................................................................
4, Heated oxygen sensor circuit mode.....................................................
5, Air flow meter (mV)...................................................................
6, Injection pulse (µs)..................................................................
7, Throttle position (mV)................................................................
8, Throttle position mode................................................................
9, Ignition timing (deg).................................................................
10, Supply voltage (V)...................................................................
11, Coolant temperature (°C).............................................................
12, Intake air temperature (°C)..........................................................
13, Idle air control valve position (%)..................................................
14, Power steering pressure mode.........................................................
15, Fuel tank vapor valve mode...........................................................
16, Automatic transmission mode..........................................................
17, Brake pedal position.................................................................
